subset,condition,n,positive,negative,roc_auc_mean,roc_auc_std,ap_mean,ap_std,f1_val_threshold_mean,f1_val_threshold_std,p_at_5pct_mean,p_at_5pct_std,r_at_10fpr_mean,r_at_10fpr_std
full_test,asof__MLP__M11,8435,20,8415,0.8315876411170529,0.015520188368829856,0.01095568241126861,0.0006146854601018404,0.014998821320660122,0.009692394605814206,0.013744075829383886,0.0030896693863519667,0.45,0.035355339059327376
full_test,asof__MLP__M5,8435,20,8415,0.7672786690433749,0.02199431501006928,0.006716333835701185,0.0005969576041420183,0.005511432199446333,0.007565413593504403,0.006161137440758294,0.002701837500234924,0.3,0.07071067811865474
full_test,asof__RandomForest__M11,8435,20,8415,0.9049221628045159,0.007664087079194158,0.030164281468498904,0.0030762806800384347,0.09794274168124055,0.012527315693912834,0.02132701421800948,0.0016756084862240455,0.67,0.0273861278752583
full_test,asof__RandomForest__M5,8435,20,8415,0.8487504456327987,0.02021286840430946,0.036071850355469795,0.0030844932861037937,0.08119197577137123,0.008379378934310202,0.01943127962085308,0.001982606697948046,0.5800000000000001,0.044721359549995794
full_test,fixed1095__GCN__M11,8435,20,8415,0.7662756981580511,0.029684281401149412,0.00744921397663569,0.0011072387852919998,0.003745318352059925,0.005296680008887996,0.0071090047393364926,0.0033512169724480923,0.39,0.12449899597988733
full_test,fixed1095__MLP__M11,8435,20,8415,0.8221812240047534,0.014636589059129778,0.00988871851306641,0.001171909394289206,0.0017699115044247787,0.003957642438052725,0.012322274881516587,0.002595841504763821,0.48,0.04472135954999579
full_test,fixed1095__RandomForest__M11,8435,20,8415,0.7859940582293523,0.023718387857748095,0.013691316948668032,0.0008093775514660698,0.0038461538461538464,0.008600261451922268,0.01943127962085308,0.0010597478566349713,0.49000000000000005,0.02236067977499789
full_test,fixed1095__SAGE__M11,8435,20,8415,0.737648247177659,0.03934996532965221,0.007422494226580978,0.0003864148805133589,0.0047619047619047615,0.010647942749998997,0.00900473933649289,0.00259584150476382,0.39,0.05477225575051665
full_test,primary__GCN__M11,8435,20,8415,0.818114081996435,0.014518569521923319,0.008301840605057838,0.0009093656710046962,0.008573679995391104,0.002067813064939901,0.005687203791469195,0.0027018375002349246,0.47000000000000003,0.0670820393249937
full_test,primary__MLP__M11,8435,20,8415,0.831888294711824,0.012858824573272674,0.010937965606419487,0.0006494880010467706,0.014519478674960996,0.0045883173436801015,0.014691943127962088,0.0030896693863519667,0.44000000000000006,0.02236067977499789
full_test,primary__MLP__M5,8435,20,8415,0.7594093879976234,0.022616822791024442,0.006494178636355161,0.0006028494894426347,0.011229872181623333,0.006317978653160378,0.006635071090047394,0.0030896693863519667,0.3,0.049999999999999996
full_test,primary__RandomForest__M11,8435,20,8415,0.8638686868686868,0.00556417412893532,0.014760277167452832,0.0006553972657598179,0.026513301932993404,0.014914806588713454,0.016587677725118485,0.0,0.45999999999999996,0.04183300132670376
full_test,primary__RandomForest__M5,8435,20,8415,0.7801729055258467,0.008064942888011177,0.011970499819626616,0.002280729993314655,0.036497066152238564,0.02815324941622363,0.008530805687203793,0.0012979207523819113,0.38,0.05700877125495691
full_test,primary__SAGE__M11,8435,20,8415,0.8173416518122402,0.02103535499341807,0.009146044357349248,0.0014334634224235211,0.005907044594377476,0.0054334101322289574,0.00947867298578199,0.0023696682464454974,0.44000000000000006,0.09617692030835673
intersection_doc_and_source_screen,asof__MLP__M11,7753,2,7751,0.595832795768288,0.049030315926203875,0.0004765520940024807,6.17073952149871e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,asof__MLP__M5,7753,2,7751,0.4811508192491292,0.05325214869524628,0.00037030337848584395,3.796021760656008e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,asof__RandomForest__M11,7753,2,7751,0.826635272868017,0.029672144302375154,0.0011045140176727444,0.00018595423152165547,0.0,0.0,0.0,0.0,0.1,0.223606797749979
intersection_doc_and_source_screen,asof__RandomForest__M5,7753,2,7751,0.7498322797058444,0.05320033355651445,0.0010273774551101081,0.0001541482401406515,0.0,0.0,0.0,0.0,0.3,0.27386127875258304
intersection_doc_and_source_screen,fixed1095__GCN__M11,7753,2,7751,0.683189265901174,0.16681272215672455,0.0008253419837194861,0.0003668217997219135,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,fixed1095__MLP__M11,7753,2,7751,0.5483808540833441,0.08251558237963438,0.0004293986777020401,7.20081888382208e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,fixed1095__RandomForest__M11,7753,2,7751,0.45433492452586766,0.12967208241473596,0.00038211970786197427,9.990731184015838e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,fixed1095__SAGE__M11,7753,2,7751,0.37877693200877305,0.05938630051388772,0.0003196262806999156,3.35640518400563e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,primary__GCN__M11,7753,2,7751,0.7842213907882853,0.0880546312463495,0.0012030697917298741,0.0006020714771651208,0.0,0.0,0.0005154639175257732,0.001152612359535974,0.2,0.27386127875258304
intersection_doc_and_source_screen,primary__MLP__M11,7753,2,7751,0.5963875628951103,0.036429191811801424,0.00047382383393098455,4.2863246711697186e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,primary__MLP__M5,7753,2,7751,0.5124758095729584,0.04791201031879197,0.0003964663601722775,3.959017473322631e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,primary__RandomForest__M11,7753,2,7751,0.751057928009289,0.04871773117062725,0.0008001462710337737,0.0001529983072802785,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,primary__RandomForest__M5,7753,2,7751,0.706205650883757,0.033525968507508955,0.0006226565084753543,7.609740092532209e-05,0.0,0.0,0.0,0.0,0.0,0.0
intersection_doc_and_source_screen,primary__SAGE__M11,7753,2,7751,0.6150432202296479,0.115230358048528,0.0005874190362671003,0.0002272026110115022,0.0,0.0,0.0,0.0,0.1,0.223606797749979
positive_no_detected_earlier_doc_vs_all_negatives,asof__MLP__M11,8422,7,8415,0.6700076394194041,0.020698318868310563,0.001445858023205319,9.847021915510079e-05,0.0,0.0,0.0,0.0,0.05714285714285714,0.07824607964359515
positive_no_detected_earlier_doc_vs_all_negatives,asof__MLP__M5,8422,7,8415,0.6600797894915542,0.03151301401838158,0.001479951952449229,0.00012773311733954869,0.0006688963210702341,0.0014956976438125684,0.0,0.0,0.11428571428571428,0.06388765649999399
