scenario,model,modal,roc_auc_mean,roc_auc_sd,ap_mean,ap_sd,f1_mean,p5_mean,r10_mean,seeds
asof,MLP,M11,0.8315876411170529,0.01552018836882981,0.010955682411268609,0.0006146854601018409,0.014998821320660122,0.013744075829383886,0.45,5
asof,MLP,M5,0.7672786690433749,0.021994315010069296,0.006716333835701185,0.000596957604142018,0.005511432199446333,0.006161137440758294,0.3,5
asof,RandomForest,M11,0.9049221628045159,0.007664087079194158,0.0301642814684989,0.0030762806800384303,0.09794274168124055,0.02132701421800948,0.67,5
asof,RandomForest,M5,0.8487504456327987,0.02021286840430954,0.03607185035546979,0.0030844932861037945,0.08119197577137123,0.01943127962085308,0.5800000000000001,5
fixed1095,GCN,M11,0.7662756981580511,0.029684281401149457,0.0074492139766356895,0.001107238785292,0.003745318352059925,0.0071090047393364926,0.39,5
fixed1095,GraphSAGE,M11,0.737648247177659,0.039349965329652174,0.007422494226580976,0.0003864148805133591,0.0047619047619047615,0.00900473933649289,0.39,5
fixed1095,MLP,M11,0.8221812240047534,0.014636589059129753,0.00988871851306641,0.0011719093942892055,0.0017699115044247787,0.012322274881516587,0.48,5
fixed1095,RandomForest,M11,0.7859940582293523,0.023718387857748095,0.013691316948668032,0.0008093775514660698,0.0038461538461538464,0.01943127962085308,0.49000000000000005,5
