scenario,model,modal,primary_reference_condition,primary_auc_mean,primary_auc_sd,sensitivity_auc_mean,sensitivity_auc_sd,delta_auc,primary_ap_mean,sensitivity_ap_mean,p_at_5pct_mean,r_at_10fpr_mean,f1_val_threshold_mean,n_test,test_positives,seeds
asof,MLP,M11,STORED_MLP_M11,0.8318882947118242,0.0128588245732726,0.8315876411170529,0.0155201883688298,-0.00030065359477138287,0.0109379656064194,0.0109556824112686,0.0137440758293838,0.45,0.0149988213206601,8435,20,5
asof,MLP,M5,STORED_MLP_M5,0.7594093879976234,0.0226168227910244,0.7672786690433749,0.0219943150100692,0.007869281045751575,0.0064941786363551,0.0067163338357011,0.0061611374407582,0.3,0.0055114321994463,8435,20,5
asof,RandomForest,M11,TABUW_RandomForest_M11,0.8638686868686868,0.0055641741289352,0.904922162804516,0.0076640870791941,0.0410534759358292,0.0147602771674528,0.0301642814684989,0.0213270142180094,0.67,0.0979427416812405,8435,20,5
asof,RandomForest,M5,TABUW_RandomForest_M5,0.7801729055258467,0.0080649428880111,0.8487504456327987,0.0202128684043095,0.06857754010695194,0.0119704998196266,0.0360718503554697,0.019431279620853,0.5800000000000001,0.0811919757713712,8435,20,5
fixed1095,GCN,M11,REVERSE_GCN_M11,0.818114081996435,0.01451856952192331,0.7662756981580511,0.0296842814011494,-0.051838383838383906,0.008301840605057781,0.0074492139766356,0.0071090047393364,0.39,0.0037453183520599,8435,20,5
fixed1095,GraphSAGE,M11,REVERSE_SAGE_M11,0.8173416518122399,0.021035354993418083,0.737648247177659,0.0393499653296521,-0.07969340463458097,0.009146044357349201,0.0074224942265809,0.0090047393364928,0.39,0.0047619047619047,8435,20,5
fixed1095,MLP,M11,STORED_MLP_M11,0.8318882947118242,0.0128588245732726,0.8221812240047534,0.0146365890591297,-0.009707070707070886,0.0109379656064194,0.0098887185130664,0.0123222748815165,0.48,0.0017699115044247,8435,20,5
fixed1095,RandomForest,M11,TABUW_RandomForest_M11,0.8638686868686868,0.0055641741289352,0.7859940582293523,0.023718387857748,-0.07787462863933448,0.0147602771674528,0.013691316948668,0.019431279620853,0.49,0.0038461538461538,8435,20,5
