condition,seed,best_epoch,validation_auc,validation_threshold,roc_auc,ap,f1_val_threshold,p_at_5pct,r_at_10fpr
ORIGINAL_GAT_G6,42,3,0.514775072224515,0.4872097671031952,0.48713012477718354,0.0026271787436893354,0.0,0.004739336492890996,0.1
ORIGINAL_GAT_G6,123,1,0.5081390149951851,0.4755004644393921,0.4739928698752228,0.0024133216703868636,0.0,0.002369668246445498,0.05
ORIGINAL_GAT_G6,456,1,0.49545157518228095,0.47734928131103516,0.5262358882947118,0.002671551703730079,0.002564102564102564,0.002369668246445498,0.1
ORIGINAL_GAT_G6,789,6,0.510264479295639,0.5047643780708313,0.4726678550207962,0.0024729990754014425,0.0,0.002369668246445498,0.1
ORIGINAL_GAT_G6,1024,28,0.5354949098913193,0.5025826096534729,0.45675579322638143,0.002217543081341059,0.0,0.0,0.0
ORIGINAL_GAT_M11,42,18,0.6520893520429221,0.9143664240837097,0.6599168152109328,0.005021636940826928,0.0,0.004739336492890996,0.3
ORIGINAL_GAT_M11,123,29,0.619610675471179,0.9994316697120667,0.5783630421865715,0.0039292965869865875,0.02247191011235955,0.004739336492890996,0.1
ORIGINAL_GAT_M11,456,7,0.6535114871371578,0.8738971948623657,0.6365656565656566,0.003994027876403804,0.0,0.002369668246445498,0.2
ORIGINAL_GAT_M11,789,33,0.6156090934103728,0.9325085282325745,0.5972846108140226,0.0034767460612229765,0.0,0.0,0.25
ORIGINAL_GAT_M11,1024,18,0.5593565139634062,0.3645898103713989,0.5849524658348187,0.0032979224334307275,0.007390983000739098,0.0,0.2
ORIGINAL_GCN_G6,42,10,0.495305406520842,0.4881457984447479,0.43983363042186574,0.0020882970234002794,0.0011074197120708748,0.0,0.05
ORIGINAL_GCN_G6,123,45,0.4972554684275692,0.48286595940589905,0.4408942364824717,0.0020889017215717513,0.0011261261261261261,0.0,0.05
ORIGINAL_GCN_G6,456,1,0.5000945797221076,0.5152292847633362,0.5571420083184789,0.0026628218877448847,0.005375311960069111,0.0,0.05
ORIGINAL_GCN_G6,789,11,0.5012742468014858,0.4857197701931,0.5578163992869876,0.002668674253256162,0.005384615384615384,0.0,0.05
ORIGINAL_GCN_G6,1024,10,0.49696657036731323,0.4841930568218231,0.4408674985145573,0.002089269375843047,0.0011242270938729624,0.0,0.05
ORIGINAL_GCN_M11,42,50,0.6233801073049938,0.9701875448226929,0.5964705882352941,0.0032341004028272847,0.0,0.002369668246445498,0.05
ORIGINAL_GCN_M11,123,1,0.5518503232906864,0.9407203793525696,0.7151633986928104,0.006282587918315216,0.0,0.009478672985781991,0.3
ORIGINAL_GCN_M11,456,36,0.6083986793231532,0.9154793620109558,0.6315567439096852,0.0040356941025054705,0.0,0.002369668246445498,0.2
ORIGINAL_GCN_M11,789,44,0.6160269638189573,0.7430521249771118,0.5759714795008912,0.003272434557670856,0.0,0.0,0.1
ORIGINAL_GCN_M11,1024,24,0.6188127665428533,0.897244393825531,0.6951336898395721,0.004912993865253621,0.0,0.004739336492890996,0.25
ORIGINAL_MLP_M11,42,48,0.8232872472141973,0.7935276627540588,0.8377183600713012,0.011571361523068953,0.011834319526627219,0.016587677725118485,0.45
ORIGINAL_MLP_M11,123,24,0.821481634337598,0.7054864764213562,0.8125252525252524,0.01004467880902027,0.011299435028248588,0.009478672985781991,0.45
ORIGINAL_MLP_M11,456,44,0.8108113220525519,0.8522984981536865,0.8422162804515746,0.010491466107378581,0.015037593984962405,0.016587677725118485,0.45
ORIGINAL_MLP_M11,789,22,0.8284530196725821,0.6667288541793823,0.825103980986334,0.011431395380859393,0.022304832713754646,0.014218009478672985,0.4
ORIGINAL_MLP_M11,1024,36,0.8146065483560324,0.7793102264404297,0.8418775995246583,0.011150926211770235,0.012121212121212121,0.016587677725118485,0.45
ORIGINAL_RGCN_G6,42,1,0.5590538588526619,0.4750538766384125,0.4354664289958408,0.002242765028304135,0.0,0.002369668246445498,0.05
