partition,panel_rows,eligible_rows,common_cutoff_positive,fixed1095_positive,reclassified_positive_to_negative,null_rows
train,24527,24106,254,119,135,421
validation,7764,7309,40,25,15,455
test,9357,8435,20,20,0,922
outside_primary,10027,0,0,0,0,10027
