family,label,left,right,modal,roc_auc_observed_delta,roc_auc_bootstrap_ci_lo,roc_auc_bootstrap_ci_hi,roc_auc_bootstrap_prob_delta_le_0,ap_observed_delta,ap_bootstrap_ci_lo,ap_bootstrap_ci_hi,ap_bootstrap_prob_delta_le_0,f1_observed_delta,f1_bootstrap_ci_lo,f1_bootstrap_ci_hi,f1_bootstrap_prob_delta_le_0,p_at_5pct_observed_delta,p_at_5pct_bootstrap_ci_lo,p_at_5pct_bootstrap_ci_hi,p_at_5pct_bootstrap_prob_delta_le_0,r_at_10fpr_observed_delta,r_at_10fpr_bootstrap_ci_lo,r_at_10fpr_bootstrap_ci_hi,r_at_10fpr_bootstrap_prob_delta_le_0,model,tabular_model
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_Lasso_M11,TABUW_Lasso_M10,,0.019396316102198385,-0.021110320822244292,0.07046346785922732,0.204,-0.0007771721949076764,-0.004247925038926613,0.0013618875496259205,0.787,-0.016017842660178427,-0.047619047619047616,0.0,0.9775,0.0,0.0,0.004750593824228027,0.8625,-0.04999999999999999,-0.15384615384615385,0.0,1.0,Lasso,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_Ridge_M10,TABUW_Ridge_M5,,0.010415923945335637,-0.07245410493938842,0.08359371236970423,0.3745,0.005796107665736198,-0.0004440575792521946,0.028494984697313652,0.0485,0.013327721661054993,-0.030616169544740973,0.07407407407407407,0.4075,0.007109004739336492,-0.002369668246445497,0.01891364996134583,0.1305,0.14999999999999997,-0.06666666666666668,0.3846153846153846,0.157,Ridge,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_Ridge_M11,TABUW_Ridge_M5,,0.026423054070112806,-0.06717135497875969,0.11759692557057874,0.2735,0.0044997728781238115,-0.0012314715207088882,0.02433964701849439,0.0745,0.01804812834224599,-0.030616169544740973,0.08956180189453472,0.3915,0.007109004739336492,-0.002369668246445498,0.018912529550827423,0.134,0.09999999999999998,-0.13636363636363635,0.375,0.2865,Ridge,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_Ridge_M11,TABUW_Ridge_M10,,0.01600713012477717,-0.023498391748446933,0.06652061732002014,0.245,-0.0012963347876123864,-0.005353310848549055,0.0004956965299678455,0.9075,0.004720406681190996,0.0,0.01764928350056766,0.367,0.0,0.0,0.0,0.999,-0.04999999999999999,-0.15009615384615385,0.09090909090909094,0.916,Ridge,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_RandomForest_M10,TABUW_RandomForest_M5,,0.06524777183600705,-0.012437540467869226,0.15659986155586259,0.063,0.002938967512559079,-0.011186550882196687,0.015779970044548574,0.288,-0.0027577353852943354,-0.0478660800337535,0.04173635260874521,0.554,0.005687203791469192,-0.0014184397163120553,0.015640739156375587,0.0805,0.08999999999999991,-0.12,0.32904174573055023,0.205,RandomForest,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_RandomForest_M11,TABUW_RandomForest_M5,,0.08369578134284006,0.009267631584620531,0.17134046590251617,0.0095,0.0027897773478262125,-0.011334448398780655,0.01380349910241306,0.275,-0.00998376421924516,-0.05384339030774188,0.035072241716524385,0.68,0.008056872037914692,0.0009456264775413699,0.017495126214244892,0.018,0.08000000000000007,-0.11666666666666675,0.3181818181818182,0.2075,RandomForest,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_RandomForest_M11,TABUW_RandomForest_M10,,0.018448009506833007,0.005214784238964839,0.03314604448649918,0.001,-0.00014919016473286667,-0.0032082205083991872,0.0019682762473948825,0.493,-0.007226028833950824,-0.03762383788564681,0.014931680314400463,0.7345,0.0023696682464454995,0.0,0.007125890736342042,0.3405,-0.009999999999999842,-0.039999999999999925,0.047058823529411764,0.7135,RandomForest,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_XGBoost_M10,TABUW_XGBoost_M5,,0.09532976827094486,0.020831724748868068,0.1851024765748844,0.007,-0.006965095734730583,-0.08022527083992123,0.009723623912943334,0.6865,-0.037037037037037035,-0.11538461538461539,0.0,1.0,0.007109004739336495,0.0,0.016587677725118485,0.049,0.15000000000000002,0.0,0.33333333333333337,0.086,XGBoost,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_XGBoost_M11,TABUW_XGBoost_M5,,0.07021984551396321,-0.021746681950101564,0.172459577193527,0.0625,-0.01020460224103356,-0.09022526522014034,0.007426860087477093,0.7295,-0.037037037037037035,-0.11538461538461539,0.0,1.0,-0.004739336492890994,-0.01886792452830189,0.0047281323877068565,0.892,0.15000000000000002,-0.0625,0.38888888888888884,0.1725,XGBoost,
unweighted_tabular_modality,label_v1_strict_ab_primary,TABUW_XGBoost_M11,TABUW_XGBoost_M10,,-0.02510992275698165,-0.08691680840841355,0.03694504259585949,0.796,-0.0032395065063029766,-0.013732866558943985,0.0033810355538391847,0.82,0.0,0.0,0.0,1.0,-0.011848341232227489,-0.026066350710900472,-0.0023640661938534296,1.0,0.0,-0.1333333333333333,0.16666666666666657,0.6505,XGBoost,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_Lasso_M5,TABUW_Lasso_M5,M5,0.0007783719548426493,-0.06688011127683806,0.08240942405090876,0.5165,0.0014669499157362546,-0.0008047065656090775,0.00978463374475352,0.158,0.017573696145124718,0.0,0.058309678514299676,0.3845,0.002369668246445497,-0.004750593824228029,0.011820330969267137,0.402,0.15,-0.07142857142857142,0.3500735294117643,0.1255,Lasso,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_Lasso_M10,TABUW_Lasso_M10,M10,0.019441473559120515,-0.054886245098284,0.08865412402732378,0.297,-0.00316020838668746,-0.02023523579047612,0.001397082705463984,0.8815,-0.043795620437956206,-0.09655172413793103,0.0,1.0,-0.002369668246445496,-0.007125890736342043,0.0,0.9935,-0.09999999999999998,-0.2917279411764706,0.10344827586206895,0.8675,Lasso,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_Lasso_M11,TABUW_Lasso_M11,M11,-0.0013868092691621259,-0.08059790779553852,0.07280475031374481,0.512,-0.0023708972328333622,-0.017675206486247215,0.002324110682682615,0.824,-0.02777777777777778,-0.07300611850579647,0.0,1.0,-0.002369668246445496,-0.011848341232227489,0.0,0.997,0.0,-0.18181818181818177,0.13043478260869565,0.6485,Lasso,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_Ridge_M5,TABUW_Ridge_M5,M5,0.009661319073083652,-0.044210645471611,0.07281598417313416,0.3935,0.0009933751077966279,-0.00058639579025178,0.00676757793728261,0.1595,0.012732749178532312,0.0,0.04274419129257837,0.3845,0.0,-0.0070921985815602835,0.007109004739336493,0.65,0.04999999999999999,-0.13340909090909092,0.20833333333333337,0.3935,Ridge,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_Ridge_M10,TABUW_Ridge_M10,M10,0.01982174688057048,-0.0526746573084512,0.0819623954810206,0.272,-0.0029112940414413565,-0.016636119594177618,0.0011660055064812713,0.89,-0.024691358024691357,-0.0821917808219178,0.0,1.0,-0.002369668246445496,-0.007125890736342043,0.0,0.9895,-0.04999999999999999,-0.21052631578947367,0.15789473684210525,0.68,Ridge,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_Ridge_M11,TABUW_Ridge_M11,M11,0.002703505644682136,-0.07783687512300987,0.07047292624467155,0.4635,-0.0017326553831741327,-0.013419813213108764,0.0020631696527606213,0.805,-0.029411764705882353,-0.0967741935483871,0.0,1.0,-0.002369668246445496,-0.007125890736342043,0.0,0.976,0.0,-0.15009615384615385,0.15789473684210525,0.4975,Ridge,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_RandomForest_M5,TABUW_RandomForest_M5,M5,-0.019841354723707627,-0.08269889079366637,0.04067605646644637,0.738,0.0010287867953814606,-0.012868050634274581,0.030819985651633488,0.403,0.002514935121434997,-0.04028403748005649,0.05798792395478308,0.5155,0.0066350710900473925,0.0,0.0146928155711407,0.051,-0.030000000000000027,-0.18666666666666665,0.14736842105263157,0.6175,RandomForest,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_RandomForest_M10,TABUW_RandomForest_M10,M10,-0.055557338086749786,-0.12065481124221818,0.006558452049167815,0.9615,-0.003188060140562207,-0.013258247476712422,0.00566725443055154,0.8005,-0.02032626321434179,-0.05492300572091543,0.0,0.9995,0.0,-0.007109004739336492,0.0070921985815602835,0.6515,-0.08999999999999991,-0.3131121281464531,0.12503289473684193,0.802,RandomForest,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_RandomForest_M11,TABUW_RandomForest_M11,M11,-0.056930481283422374,-0.10983151794524688,-0.004731189798794719,0.982,-0.0034717210287156103,-0.012036430415804806,0.004927207894962493,0.849,-0.005026378101675982,-0.022231230825551458,0.0005496174928149258,0.9665,-0.0023696682464454995,-0.009501753195339894,0.004750593824228029,0.805,-0.10000000000000003,-0.30774193548387097,0.1143452380952378,0.85,RandomForest,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_XGBoost_M5,TABUW_XGBoost_M5,M5,0.002893642305407007,-0.07422213965269554,0.08196782931460334,0.475,-0.01083779734930819,-0.0846887440819353,0.0025064764177816492,0.833,-0.00906500906500906,-0.0962201189176071,0.06060606060606061,0.5965,0.0023696682464454995,0.0,0.007142857142857142,0.3575,0.04999999999999999,0.0,0.15789473684210525,0.655,XGBoost,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_XGBoost_M10,TABUW_XGBoost_M10,M10,-0.06863933452168758,-0.1344050058182544,0.004507151875019114,0.965,-0.007088280658974012,-0.020239124721146837,-0.001407441810298373,0.999,0.0,0.0,0.0,1.0,-0.011848341232227489,-0.023752969121140145,-0.002369668246445497,1.0,-0.15000000000000002,-0.3181818181818181,0.0,1.0,XGBoost,
tabular_weighting_effect,label_v1_strict_ab_primary,TABW_XGBoost_M11,TABUW_XGBoost_M11,M11,-0.07704693998811651,-0.15004495790274075,-0.003314369533145144,0.979,-0.004345243636412552,-0.013616669259153192,-0.00036501380338781946,0.983,0.0,0.0,0.0,1.0,-0.007109004739336493,-0.01650943396226415,0.004750593824228029,0.8775,-0.15000000000000002,-0.3333333333333333,0.0,0.9995,XGBoost,
