model,n_independent_embeddings,roc_auc_mean,roc_auc_sd,ap_mean,ap_sd,f1_val_threshold_mean,f1_val_threshold_sd,p_at_5pct_mean,p_at_5pct_sd,r_at_10fpr_mean,r_at_10fpr_sd
Node2Vec_L2Logistic,5,0.505273321449792,0.08350614430261176,0.002632689322886252,0.0006132314656631757,0.002528483405859089,0.0036564728894397294,0.00047393364928909954,0.0010597478566349713,0.06999999999999999,0.044721359549995794
LabelPropagation,1,0.5976440879382057,0.0,0.03226501200432251,0.0,0.048,0.0,0.009478672985781991,0.0,0.2,0.0
