Fiscal year,Eligible N,Positive,Negative,Null
2010,2026,9,2017,11
2011,2304,20,2284,17
2012,2437,21,2416,24
2013,2436,18,2418,23
2014,2551,24,2527,16
2015,2738,31,2707,39
2016,2956,35,2921,31
2017,3282,55,3227,133
2018,3376,41,3335,127
2019,3530,23,3507,155
2020,3779,17,3762,300
2021,4121,12,4109,419
2022,4314,8,4306,503
2023,0,—,—,5002
2024,0,—,—,5025
