label,condition,protocol,n_boot,cluster_unit,test_n,test_pos,unique_company_clusters,roc_auc_mean,roc_auc_ci_lo,roc_auc_ci_hi,ap_mean,ap_ci_lo,ap_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi,p_at_5pct_mean,p_at_5pct_ci_lo,p_at_5pct_ci_hi,r_at_10fpr_mean,r_at_10fpr_ci_lo,r_at_10fpr_ci_hi
label_v1_strict_ab_primary,MLP_M10,neural_weighted_primary,2000,company_code,8435,20,4531,0.8420029708853238,0.7702703206308951,0.9023380415606337,0.01145341428898369,0.005590298363002151,0.02460049200977982,0.025184171676800142,0.002116402116402116,0.05430368004877084,0.012796208530805686,0.0037825059101654845,0.024293228638973277,0.5,0.2833088235294118,0.70435817805383
label_v1_strict_ab_primary,MLP_M11,neural_weighted_primary,2000,company_code,8435,20,4531,0.8318882947118242,0.761538999917315,0.8930628965015767,0.010937965606419487,0.005265103333135685,0.027520070686270846,0.014519478674960996,0.0011048962756647336,0.038931205972644864,0.014691943127962088,0.004705944964818717,0.026541860386576747,0.44000000000000006,0.23995238095238094,0.6347953964194373
label_v1_strict_ab_primary,SAGE_M10,neural_weighted_primary,2000,company_code,8435,20,4531,0.7670647653000594,0.638460127967407,0.8726153022603886,0.008751255463764707,0.004322584337141542,0.01890139514198636,0.02011926453341147,0.002515453751690024,0.04439157915081539,0.01042654028436019,0.002364066193853428,0.020754716981132078,0.4,0.18661538461538463,0.6235294117647059
label_v1_strict_ab_primary,SAGE_M11,neural_weighted_primary,2000,company_code,8435,20,4531,0.7599441473559121,0.6315781835125344,0.8656220451834491,0.008365638889707948,0.00418365034977563,0.018177367614843554,0.016613335422821417,0.0032341989801045463,0.03432921351375723,0.010900473933649289,0.0023751561954723013,0.021226415094339625,0.41,0.19130434782608696,0.6261166007905136
label_v1_strict_ab_primary,MLP_M5,neural_weighted_primary,2000,company_code,8435,20,4531,0.7594093879976234,0.6840381951685862,0.8325493491469035,0.006494178636355159,0.0031671210956315823,0.014005578072690776,0.011229872181623333,0.0018696725511751144,0.023113432868933362,0.006635071090047394,0.0,0.013818895643363678,0.3,0.11106060606060607,0.4933333333333333
label_v1_strict_ab_primary,RGCN_M11,neural_weighted_primary,2000,company_code,8435,20,4531,0.7158027332144979,0.598256643298314,0.8220435827139813,0.007535635926011998,0.0035777995832694067,0.01978587733133394,0.015971088540194807,0.0,0.04288198729280489,0.00995260663507109,0.002369668246445498,0.018957345971563982,0.35,0.1732857142857143,0.5545948616600787
label_v1_strict_ab_primary,RGCN_M10,neural_weighted_primary,2000,company_code,8435,20,4531,0.7121188354129531,0.5809210973395009,0.8272687807206941,0.008274183644937013,0.0037765208735779177,0.022314285728249658,0.01793177560879424,0.0,0.0458258116237154,0.01042654028436019,0.003309692671394799,0.019054919137466264,0.37,0.17777777777777776,0.5765032679738561
label_v1_strict_ab_primary,SAGE_M5,neural_weighted_primary,2000,company_code,8435,20,4531,0.6882448009506832,0.5817269954090698,0.7880976705017508,0.005310574153610116,0.0027020205624807363,0.011191157076806072,0.0010610079575596816,0.0,0.0033615805872910945,0.005213270142180095,0.0004716981132075472,0.011321423792319013,0.28,0.1090909090909091,0.47060924369747886
label_v1_strict_ab_primary,RGCN_M5,neural_weighted_primary,2000,company_code,8435,20,4531,0.6470802139037433,0.538380627184908,0.7619231132122953,0.0050742105159136556,0.0025475202342201972,0.012742022154794507,0.007066864056725647,0.0,0.020789074063220298,0.005687203791469195,0.0014150943396226416,0.012293872474874791,0.24,0.07058823529411765,0.4375
label_v1_strict_ab_primary,GCN_M11,neural_weighted_primary,2000,company_code,8435,20,4531,0.6428591800356507,0.549106375286347,0.7159402810759213,0.00434756216931449,0.0025026407629183834,0.00825974297486693,0.0,0.0,0.0,0.0037914691943127963,0.00047393364928909954,0.007565459984538332,0.18,0.07777777777777778,0.3
label_v1_strict_ab_primary,GAT_M11,neural_weighted_primary,2000,company_code,8435,20,4531,0.6114165181224005,0.4989323302297355,0.709311904587251,0.003943925979774205,0.002087702050420171,0.007788634259687875,0.00597257862261973,0.000586929814558622,0.015260143786801683,0.002369668246445498,0.0,0.006146572104018913,0.21000000000000002,0.1,0.3142857142857142
label_v1_strict_ab_primary,GAT_M10,neural_weighted_primary,2000,company_code,8435,20,4531,0.6016339869281045,0.5032699684044425,0.6971957628031116,0.0036483822950069814,0.002054742269726974,0.0067751613566407725,0.001176470588235294,0.0,0.0036588162899977607,0.0028436018957345975,0.0009433962264150943,0.006161503304026746,0.15999999999999998,0.07058823529411765,0.25
label_v1_strict_ab_primary,GAT_M5,neural_weighted_primary,2000,company_code,8435,20,4531,0.5916702317290553,0.4814161006346203,0.6941094721926977,0.00374831959075132,0.001961915403870466,0.007744322809378281,0.0011212333566923615,0.0002720811901996571,0.002304233355312718,0.0037914691943127963,0.0004716981132075472,0.007582938388625592,0.18,0.06666666666666667,0.29333333333333333
label_v1_strict_ab_primary,GCN_M5,neural_weighted_primary,2000,company_code,8435,20,4531,0.5797302436125966,0.47666275813788433,0.672851729909395,0.002988837411325025,0.001648731212000944,0.005323884743899521,0.0,0.0,0.0,0.0009478672985781991,0.0,0.002369668246445498,0.06999999999999999,0.01111111111111111,0.13637559808612432
label_v1_strict_ab_primary,GCN_M10,neural_weighted_primary,2000,company_code,8435,20,4531,0.5732406417112299,0.45387013961497547,0.6703735524242312,0.003030200486754835,0.0016852458715002825,0.005346706534288667,0.0,0.0,0.0,0.0009478672985781991,0.0,0.002369668246445498,0.08,0.02,0.14444444444444443
label_v1_strict_ab_primary,TABUW_RandomForest_M11,tabular_unweighted,2000,company_code,8435,20,4531,0.8638686868686868,0.8016834054593025,0.9200267221004521,0.014760277167452828,0.006696272983680969,0.0376217349297501,0.026513301932993404,0.0,0.08873351737138138,0.016587677725118485,0.005189969604863222,0.028503562945368172,0.4600000000000001,0.2555,0.6963888888888883
label_v1_strict_ab_primary,TABUW_RandomForest_M10,tabular_unweighted,2000,company_code,8435,20,4531,0.8454206773618538,0.7717720640672792,0.9121008831770274,0.014909467332185695,0.006339201681675998,0.03814765313962464,0.03373933076694423,0.0,0.08815338494943956,0.014218009478672985,0.004728132387706856,0.026066350710900472,0.4699999999999999,0.26080615942028984,0.6923076923076923
label_v1_strict_ab_primary,TABUW_RandomForest_M5,tabular_unweighted,2000,company_code,8435,20,4531,0.7801729055258467,0.6889686685561909,0.868612662701108,0.011970499819626616,0.004345274387269224,0.03759448611229906,0.036497066152238564,0.0,0.07719190889329168,0.008530805687203793,0.0014150943396226416,0.01796796746327854,0.38,0.15858374384236454,0.6100131578947369
label_v1_strict_ab_primary,TABUW_XGBoost_M10,tabular_unweighted,2000,company_code,8435,20,4531,0.7606892453951278,0.6489337298478659,0.8798932628504667,0.012628077555391058,0.004717398303530162,0.030027415292260648,0.0,0.0,0.0,0.02132701421800948,0.007125468586416904,0.037914691943127965,0.45,0.21047149122807016,0.7058823529411765
