condition,n_seeds_or_runs,n_boot,cluster_unit,test_n,test_pos,company_clusters,roc_auc_observed,roc_auc_ci_lo,roc_auc_ci_hi,ap_observed,ap_ci_lo,ap_ci_hi,f1_val_threshold_observed,f1_val_threshold_ci_lo,f1_val_threshold_ci_hi,p_at_5pct_observed,p_at_5pct_ci_lo,p_at_5pct_ci_hi,r_at_10fpr_observed,r_at_10fpr_ci_lo,r_at_10fpr_ci_hi
Node2Vec_L2Logistic,5,2000,company_code,8435,20,4531,0.505273321449792,0.3967603212610441,0.6172735852589072,0.002632689322886252,0.001626016372799937,0.004691509234742721,0.002528483405859089,0.0004106670878744801,0.005173741388439058,0.00047393364928909954,0.0,0.0014251781472684087,0.06999999999999999,0.0,0.16671052631578923
LabelPropagation,1,2000,company_code,8435,20,4531,0.5976440879382057,0.48051816191690905,0.7200924623255058,0.03226501200432251,0.002435611889824255,0.10035083180212837,0.048,0.0,0.10526315789473684,0.009478672985781991,0.002358351831298557,0.019002375296912115,0.2,0.039961538461538465,0.4166666666666667
