population,condition,seed,n,positive,negative,budget,roc_auc,reference_subset,reference_auc,overlap_minus_reference
S_overlap,primary__RandomForest__M11,789,7755,4,7751,388,0.9177525480583152,intersection_doc_and_source_screen,0.6989743258934331,0.21877822216488207
O,primary__RandomForest__M11,1024,8428,13,8415,422,0.9387083504730565,positive_no_detected_earlier_doc_vs_all_negatives,0.7179526355996944,0.2207557148733621
S_overlap,primary__RandomForest__M11,1024,7755,4,7751,388,0.9183492452586763,intersection_doc_and_source_screen,0.8171848793704038,0.10116436588827249
O,primary__GCN__M11,42,8428,13,8415,422,0.8743635449517801,positive_no_detected_earlier_doc_vs_all_negatives,0.6787029963500553,0.19566054860172488
S_overlap,primary__GCN__M11,42,7755,4,7751,388,0.9362017804154302,intersection_doc_and_source_screen,0.6784285898593729,0.2577731905560573
O,primary__GCN__M11,123,8428,13,8415,422,0.8755884638237579,positive_no_detected_earlier_doc_vs_all_negatives,0.7703250997368645,0.10526336408689341
S_overlap,primary__GCN__M11,123,7755,4,7751,388,0.9063669203973679,intersection_doc_and_source_screen,0.9032382918333118,0.0031286285640560463
O,primary__GCN__M11,456,8428,13,8415,422,0.8887334887334887,positive_no_detected_earlier_doc_vs_all_negatives,0.6921144215261862,0.1966190672073025
S_overlap,primary__GCN__M11,456,7755,4,7751,388,0.9144626499806475,intersection_doc_and_source_screen,0.7197135853438266,0.19474906463682096
O,primary__GCN__M11,789,8428,13,8415,422,0.8614379084967321,positive_no_detected_earlier_doc_vs_all_negatives,0.7525337407690349,0.10890416772769718
S_overlap,primary__GCN__M11,789,7755,4,7751,388,0.8968197651915881,intersection_doc_and_source_screen,0.8193781447555154,0.07744162043607272
O,primary__GCN__M11,1024,8428,13,8415,422,0.8385758032816855,positive_no_detected_earlier_doc_vs_all_negatives,0.7360835243188184,0.10249227896286706
S_overlap,primary__GCN__M11,1024,7755,4,7751,388,0.8573409882595795,intersection_doc_and_source_screen,0.8003483421494001,0.0569926461101794
O,primary__SAGE__M11,42,8428,13,8415,422,0.8756798756798757,positive_no_detected_earlier_doc_vs_all_negatives,0.6889567948391477,0.18672308084072797
S_overlap,primary__SAGE__M11,42,7755,4,7751,388,0.9160753451167591,intersection_doc_and_source_screen,0.7099083989162689,0.20616694620049025
O,primary__SAGE__M11,123,8428,13,8415,422,0.9304630010512364,positive_no_detected_earlier_doc_vs_all_negatives,0.7091418385536032,0.22132116249763312
S_overlap,primary__SAGE__M11,123,7755,4,7751,388,0.9536188878854343,intersection_doc_and_source_screen,0.7128112501612696,0.2408076377241647
O,primary__SAGE__M11,456,8428,13,8415,422,0.908816673522556,positive_no_detected_earlier_doc_vs_all_negatives,0.5929038281979458,0.31591284532461017
S_overlap,primary__SAGE__M11,456,7755,4,7751,388,0.9380079989678753,intersection_doc_and_source_screen,0.4351696555283189,0.5028383434395565
O,primary__SAGE__M11,789,8428,13,8415,422,0.9011015128662188,positive_no_detected_earlier_doc_vs_all_negatives,0.635531788472965,0.26556972439325377
S_overlap,primary__SAGE__M11,789,7755,4,7751,388,0.9085279318797577,intersection_doc_and_source_screen,0.5761192104244613,0.3324087214552963
O,primary__SAGE__M11,1024,8428,13,8415,422,0.8675350792997852,positive_no_detected_earlier_doc_vs_all_negatives,0.7230965113318055,0.14443856796797971
S_overlap,primary__SAGE__M11,1024,7755,4,7751,388,0.8988195071603665,intersection_doc_and_source_screen,0.6412075861179203,0.25761192104244623
O,asof__MLP__M5,42,8428,13,8415,422,0.8498011792129436,positive_no_detected_earlier_doc_vs_all_negatives,0.7095662507427214,0.14023492847022223
S_overlap,asof__MLP__M5,42,7755,4,7751,388,0.7976067604180105,intersection_doc_and_source_screen,0.5399948393755645,0.257611921042446
O,asof__MLP__M5,123,8428,13,8415,422,0.7964897847250789,positive_no_detected_earlier_doc_vs_all_negatives,0.6450386215092098,0.15145116321586916
S_overlap,asof__MLP__M5,123,7755,4,7751,388,0.686459811637208,intersection_doc_and_source_screen,0.4672945426396594,0.21916526899754862
O,asof__MLP__M5,456,8428,13,8415,422,0.8187028657616894,positive_no_detected_earlier_doc_vs_all_negatives,0.6281300398947458,0.19057282586694357
S_overlap,asof__MLP__M5,456,7755,4,7751,388,0.7210037414527157,intersection_doc_and_source_screen,0.492968649206554,0.22803509224616175
O,asof__MLP__M5,789,8428,13,8415,422,0.8225055989761872,positive_no_detected_earlier_doc_vs_all_negatives,0.6705203293438589,0.1519852696323284
S_overlap,asof__MLP__M5,789,7755,4,7751,388,0.757031350793446,intersection_doc_and_source_screen,0.3982711908140885,0.35876015997935745
O,asof__MLP__M5,1024,8428,13,8415,422,0.8375062845651081,positive_no_detected_earlier_doc_vs_all_negatives,0.6471437059672354,0.19036257859787276
S_overlap,asof__MLP__M5,1024,7755,4,7751,388,0.738743387949942,intersection_doc_and_source_screen,0.5072248742097794,0.23151851374016263
O,asof__MLP__M11,42,8428,13,8415,422,0.9273549979432332,positive_no_detected_earlier_doc_vs_all_negatives,0.6754435107376284,0.25191148720560474
S_overlap,asof__MLP__M11,42,7755,4,7751,388,0.9325248355050961,intersection_doc_and_source_screen,0.5416075345116759,0.39091730099342026
O,asof__MLP__M11,123,8428,13,8415,422,0.8949494949494947,positive_no_detected_earlier_doc_vs_all_negatives,0.6392326627620746,0.25571683218742014
S_overlap,asof__MLP__M11,123,7755,4,7751,388,0.8601793316991354,intersection_doc_and_source_screen,0.5820539285253516,0.27812540317378376
O,asof__MLP__M11,456,8428,13,8415,422,0.921577768636592,positive_no_detected_earlier_doc_vs_all_negatives,0.6898395721925132,0.23173819644407878
S_overlap,asof__MLP__M11,456,7755,4,7751,388,0.9327506128241518,intersection_doc_and_source_screen,0.6199845181266933,0.31276609469745853
O,asof__MLP__M11,789,8428,13,8415,422,0.9207276383746972,positive_no_detected_earlier_doc_vs_all_negatives,0.6599439775910364,0.2607836607836608
S_overlap,asof__MLP__M11,789,7755,4,7751,388,0.9500064507805444,intersection_doc_and_source_screen,0.568055734743904,0.3819507160366403
O,asof__MLP__M11,1024,8428,13,8415,422,0.9283513871749164,positive_no_detected_earlier_doc_vs_all_negatives,0.685578473813768,0.24277291336114837
S_overlap,asof__MLP__M11,1024,7755,4,7751,388,0.9447813185395434,intersection_doc_and_source_screen,0.6674622629338149,0.27731905560572845
O,asof__RandomForest__M5,42,8428,13,8415,422,0.86951871657754,positive_no_detected_earlier_doc_vs_all_negatives,0.7711909006026654,0.09832781597487461
S_overlap,asof__RandomForest__M5,42,7755,4,7751,388,0.6893949167849309,intersection_doc_and_source_screen,0.7667720294155593,-0.07737711263062841
O,asof__RandomForest__M5,123,8428,13,8415,422,0.8895516248457424,positive_no_detected_earlier_doc_vs_all_negatives,0.8009761480349715,0.08857547681077083
S_overlap,asof__RandomForest__M5,123,7755,4,7751,388,0.7390659269771643,intersection_doc_and_source_screen,0.7846084376209521,-0.04554251064378778
O,asof__RandomForest__M5,456,8428,13,8415,422,0.8851684263448968,positive_no_detected_earlier_doc_vs_all_negatives,0.7980816569051864,0.08708676943971039
S_overlap,asof__RandomForest__M5,456,7755,4,7751,388,0.7323571152109407,intersection_doc_and_source_screen,0.7900270932782867,-0.05766997806734597
O,asof__RandomForest__M5,789,8428,13,8415,422,0.9031811325928971,positive_no_detected_earlier_doc_vs_all_negatives,0.8179271708683473,0.0852539617245498
S_overlap,asof__RandomForest__M5,789,7755,4,7751,388,0.784447168107341,intersection_doc_and_source_screen,0.7485163204747775,0.0359308476325636
O,asof__RandomForest__M5,1024,8428,13,8415,422,0.8468668586315646,positive_no_detected_earlier_doc_vs_all_negatives,0.7760122230710467,0.07085463556051796
S_overlap,asof__RandomForest__M5,1024,7755,4,7751,388,0.6569313636950072,intersection_doc_and_source_screen,0.6592375177396465,-0.002306154044639297
O,asof__RandomForest__M11,42,8428,13,8415,422,0.9578956990721701,positive_no_detected_earlier_doc_vs_all_negatives,0.8043884220354808,0.15350727703668932
S_overlap,asof__RandomForest__M11,42,7755,4,7751,388,0.9191717197780931,intersection_doc_and_source_screen,0.7948329247838989,0.1243387949941942
O,asof__RandomForest__M11,123,8428,13,8415,422,0.9504364916129623,positive_no_detected_earlier_doc_vs_all_negatives,0.786894151600034,0.16354234001292833
S_overlap,asof__RandomForest__M11,123,7755,4,7751,388,0.9159302025545092,intersection_doc_and_source_screen,0.8089923880789576,0.10693781447555162
O,asof__RandomForest__M11,456,8428,13,8415,422,0.9465697700991821,positive_no_detected_earlier_doc_vs_all_negatives,0.8336219336219336,0.11294783647724849
S_overlap,asof__RandomForest__M11,456,7755,4,7751,388,0.9087375822474519,intersection_doc_and_source_screen,0.8227648045413495,0.08597277770610245
O,asof__RandomForest__M11,789,8428,13,8415,422,0.9423145481969011,positive_no_detected_earlier_doc_vs_all_negatives,0.8377132671250319,0.10460128107186917
S_overlap,asof__RandomForest__M11,789,7755,4,7751,388,0.8930621855244486,intersection_doc_and_source_screen,0.8728228615662494,0.020239323958199162
O,asof__RandomForest__M11,1024,8428,13,8415,422,0.9530325883267057,positive_no_detected_earlier_doc_vs_all_negatives,0.8429505135387488,0.11008207478795684
S_overlap,asof__RandomForest__M11,1024,7755,4,7751,388,0.9201393368597601,intersection_doc_and_source_screen,0.8337633853696297,0.08637595149013044
O,fixed1095__MLP__M11,42,8428,13,8415,422,0.9224187577128754,positive_no_detected_earlier_doc_vs_all_negatives,0.6761565232153467,0.2462622344975287
S_overlap,fixed1095__MLP__M11,42,7755,4,7751,388,0.9285898593729842,intersection_doc_and_source_screen,0.4141401109534253,0.5144497484195589
O,fixed1095__MLP__M11,123,8428,13,8415,422,0.8884501119795237,positive_no_detected_earlier_doc_vs_all_negatives,0.6363975893387659,0.25205252264075784
S_overlap,fixed1095__MLP__M11,123,7755,4,7751,388,0.8526641723648563,intersection_doc_and_source_screen,0.626693329892917,0.22597084247193922
O,fixed1095__MLP__M11,456,8428,13,8415,422,0.9243841126194066,positive_no_detected_earlier_doc_vs_all_negatives,0.6651048298107123,0.2592792828086943
S_overlap,fixed1095__MLP__M11,456,7755,4,7751,388,0.9370403818862083,intersection_doc_and_source_screen,0.5304476841697845,0.4065926977164238
O,fixed1095__MLP__M11,789,8428,13,8415,422,0.9131495955025367,positive_no_detected_earlier_doc_vs_all_negatives,0.6609965198200493,0.25215307568248746
S_overlap,fixed1095__MLP__M11,789,7755,4,7751,388,0.9521674622629337,intersection_doc_and_source_screen,0.5893433105405754,0.36282415172235827
O,fixed1095__MLP__M11,1024,8428,13,8415,422,0.9082179258649847,positive_no_detected_earlier_doc_vs_all_negatives,0.6444953739071386,0.2637225519578461
S_overlap,fixed1095__MLP__M11,1024,7755,4,7751,388,0.9376532060379307,intersection_doc_and_source_screen,0.5812798348600181,0.35637337117791257
O,fixed1095__RandomForest__M11,42,8428,13,8415,422,0.8966131907308378,positive_no_detected_earlier_doc_vs_all_negatives,0.4953569306510482,0.4012562600797896
S_overlap,fixed1095__RandomForest__M11,42,7755,4,7751,388,0.9226551412720937,intersection_doc_and_source_screen,0.2330021932653851,0.6896529480067086
O,fixed1095__RandomForest__M11,123,8428,13,8415,422,0.9193884546825724,positive_no_detected_earlier_doc_vs_all_negatives,0.5386894151600033,0.380699039522569
S_overlap,fixed1095__RandomForest__M11,123,7755,4,7751,388,0.9408947232615147,intersection_doc_and_source_screen,0.5080634756805573,0.43283124758095737
O,fixed1095__RandomForest__M11,456,8428,13,8415,422,0.8857580328168562,positive_no_detected_earlier_doc_vs_all_negatives,0.5629233511586453,0.32283468165821083
S_overlap,fixed1095__RandomForest__M11,456,7755,4,7751,388,0.9093665333505354,intersection_doc_and_source_screen,0.5435427686750097,0.3658237646755257
O,fixed1095__RandomForest__M11,789,8428,13,8415,422,0.9210201563142739,positive_no_detected_earlier_doc_vs_all_negatives,0.563576945929887,0.35744321038438687
S_overlap,fixed1095__RandomForest__M11,789,7755,4,7751,388,0.9210424461359826,intersection_doc_and_source_screen,0.4468778222164882,0.47416462391949443
O,fixed1095__RandomForest__M11,1024,8428,13,8415,422,0.9125965537730243,positive_no_detected_earlier_doc_vs_all_negatives,0.6450980392156862,0.2674985145573381
S_overlap,fixed1095__RandomForest__M11,1024,7755,4,7751,388,0.9123016384982584,intersection_doc_and_source_screen,0.5401883627918977,0.37211327570636066
O,fixed1095__GCN__M11,42,8428,13,8415,422,0.8079345491110197,positive_no_detected_earlier_doc_vs_all_negatives,0.7325184619302266,0.07541608718079307
S_overlap,fixed1095__GCN__M11,42,7755,4,7751,388,0.9199458134434266,intersection_doc_and_source_screen,0.7026835247064894,0.2172622887369372
O,fixed1095__GCN__M11,123,8428,13,8415,422,0.8408153937565702,positive_no_detected_earlier_doc_vs_all_negatives,0.7547237076648842,0.08609168609168605
S_overlap,fixed1095__GCN__M11,123,7755,4,7751,388,0.9042704167204234,intersection_doc_and_source_screen,0.8593084763256353,0.04496194039478807
