condition,seed,archived_p5,stable_p5,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max
asof__RandomForest__M5,1024,0.0165876777251184,0.0165876777251184,8435,422,19,4,1,0.0165876777251184,0.0189573459715639
asof__RandomForest__M11,789,0.0189573459715639,0.0189573459715639,8435,422,20,5,1,0.0189573459715639,0.0213270142180094
