partition,flag,source_table,positives,negatives,flagged_positives,flagged_negatives,positive_flag_fraction,negative_flag_fraction,roc_auc,ap
train,post_anchor_fin,S9a,254,23852,100,1108,0.3937007874015748,0.0464531276203253,0.6736238298906247,0.0389795757929463
train,post_anchor_fin_no_prior,S9a,254,23852,90,1015,0.3543307086614173,0.0425540835150092,0.655888312573204,0.0356628002216939
train,asof_source_missing,S9c,254,23852,129,7768,0.5078740157480315,0.3256749958074794,0.591099509970276,0.0134817141625124
validation,post_anchor_fin,S9a,40,7269,24,368,0.6,0.050625945797221,0.7746870271013895,0.0389237758313066
validation,post_anchor_fin_no_prior,S9a,40,7269,22,315,0.55,0.0433347090383821,0.7533326454808089,0.0383677617083608
validation,asof_source_missing,S9c,40,7269,22,565,0.55,0.0777273352593204,0.7361363323703398,0.0230760051025747
test,post_anchor_fin,S9a,20,8415,14,403,0.7,0.0478906714200831,0.8260546642899584,0.0242125209139149
test,post_anchor_fin_no_prior,S9a,20,8415,12,266,0.6,0.0316102198455139,0.7841948900772431,0.0268477097397363
test,asof_source_missing,S9c,20,8415,12,527,0.6,0.0626262626262626,0.7686868686868688,0.0143064996651244
