label,condition,protocol,n_seeds,test_n,test_pos,roc_auc_mean,roc_auc_sd,ap_mean,ap_sd,f1_mean,f1_sd,p_at_5pct_mean,p_at_5pct_sd,r_at_10fpr_mean,r_at_10fpr_sd
label_v1_strict_ab_primary,GAT_G6,pure_graph,5,8435,20,0.4833565062388591,0.026279290734095996,0.002480518854909756,0.00018147378493942235,0.0005128205128205128,0.0011467015269229692,0.002369668246445498,0.0016756084862240464,0.06999999999999999,0.044721359549995794
label_v1_strict_ab_primary,GAT_M10,neural_weighted_primary,5,8435,20,0.6016339869281045,0.06246371227265031,0.0036483822950069814,0.0006218156564810813,0.001176470588235294,0.0026306682088232817,0.0028436018957345975,0.0010597478566349715,0.15999999999999998,0.0821583836257749
label_v1_strict_ab_primary,GAT_M11,neural_weighted_primary,5,8435,20,0.6114165181224005,0.035275158118734266,0.003943925979774205,0.0006707761908673941,0.00597257862261973,0.009762874791759735,0.002369668246445498,0.002369668246445498,0.21000000000000002,0.07416198487095661
label_v1_strict_ab_primary,GAT_M11_NOAUDIT,audit_ablation,5,8435,20,0.599726678550208,0.032232656431762395,0.0038770708448437573,0.0008088544639367615,0.008371148459383753,0.009885826835477408,0.0028436018957345975,0.0030896693863519662,0.13,0.044721359549995794
label_v1_strict_ab_primary,GAT_M5,neural_weighted_primary,5,8435,20,0.5916702317290553,0.039744590770111755,0.00374831959075132,0.0008044976039573443,0.0011212333566923615,0.002507154004204389,0.0037914691943127963,0.0012979207523819102,0.18,0.11510864433221338
label_v1_strict_ab_primary,GCN_G6,pure_graph,5,8435,20,0.4873107546048723,0.06405660863412364,0.002319592852363225,0.0003160020005222458,0.0028235400553508917,0.0023336984764890448,0.0,0.0,0.05,0.0
label_v1_strict_ab_primary,GCN_M10,neural_weighted_primary,5,8435,20,0.5732406417112299,0.054422962420652886,0.003030200486754835,0.0004695833482512925,0.0,0.0,0.0009478672985781991,0.0012979207523819104,0.08,0.0570087712549569
label_v1_strict_ab_primary,GCN_M11,neural_weighted_primary,5,8435,20,0.6428591800356507,0.060650917975929974,0.00434756216931449,0.0012803315810670853,0.0,0.0,0.0037914691943127963,0.0035937798313040526,0.18,0.1036822067666386
label_v1_strict_ab_primary,GCN_M11_NOAUDIT,audit_ablation,5,8435,20,0.560194890077243,0.06462010896839142,0.0029716150427261103,0.0005521092571216485,0.0,0.0,0.0,0.0,0.07999999999999999,0.057008771254956896
label_v1_strict_ab_primary,GCN_M5,neural_weighted_primary,5,8435,20,0.5797302436125966,0.04542254991413417,0.002988837411325025,0.0005178682824117475,0.0,0.0,0.0009478672985781991,0.0012979207523819102,0.06999999999999999,0.057008771254956896
