source_id,archive_basename,member_path,original_sha256,export_sha256,redacted_line_count,byte_reconstruction
A0029,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/integrate_rpt_operation_features.py,b025113d3729cd64871af66508bc22b8555fe1fc087a8760f392f055ca3a5199,217ec167fb7b5510ed69bccd83b3b7f4dde9da9d586a0eb5b53bad5b1eef29b4,1,not_attempted_redacted
A0030,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/build_kg_e7_trade.py,b0e23e1431b4f6c160b4153ca314245f8810547ae52d4047dc5eec08f36853f2,3604e6b83538374e77aae8a455c2f8817d851c74ddf81b321753a52fd0c564de,1,not_attempted_redacted
A0031,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/integrate_pledge_features.py,602850599632f9a699554b3121741c2e637ba64d8b29125263bbdcbb4f3c9650,4e2ed031444fa5752b60344e8f152c7c73af215047a1749b8530d0bc5c91ef93,1,not_attempted_redacted
A0032,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/integrate_controller_features.py,84ca176fc7ecf2c4730b3ec3fc52cb21d833d3c5397919123b66d26120fbf905,a1454e1630cd0729a472b8a82d6de577ff64c5002acd6ecfb0fecced3f422344,0,exact_original_sha256_match
A0033,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/merge_features_v1_1.py,c6d2f72c65ce6707a005674176c65f473b5277f89f9aefa0fb5a03453b6b89b7,346015abd89879579028d322333fd142a17ae2f39d6d8441da4d25a891bee400,0,exact_original_sha256_match
A0034,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/integrate_audit_features.py,1c2be9cc52b3a9e8402cc00e829c6ecb7c01fb878d923c07c2fbb0a881354bd2,7f15260cf1bf0f2f528357d016fd6ca17c4c888541fb78641e0dd90796aad444,0,exact_original_sha256_match
A0035,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/run_all.sh,53671babfa8259ccf32aff0df119ba8a6ad872b52a5e27f95eadeccc5ace34fe,8dd4d7b6d5b475a674be717853035fe093eb1d5c258facc7d8ec894d48a9493a,0,exact_original_sha256_match
A0036,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/scripts/merge_features_v1_0.py,5850a69f8b2f50bbb67949dbb0f9b1df39229e481e9aa6c61997e586afd5bca9,0e4bccf83f4e4866371ec581c417b4866dc82ebc92cb1447545b1f433d810bad,0,exact_original_sha256_match
A0037,ch7_v1_integration_v1.tar.gz,ch7_v1_integration/docs/README.md,f0b00ce0c66aaa2aed4cfc2aff7054c0599d7519a2b9f0c9ca48023e7243606d,47e2e230e0c57bd27662a7477efcf47d47190acc948cddc3ede331687a3cca36,1,not_attempted_redacted
A0038,files (18).zip,tushare_data_needs.py,5528ac03f4311faa6f965a62bbe78e8600d4b3e315fbaf4474b01f4af4157c7f,4d2b2efde2350129044aa8b806f8c42b53f338df1e5f7c60cb01a99403925638,0,exact_original_sha256_match
A0039,ch7_phase2_v1.tar.gz,ch7_phase2_handoff/gnn_baseline/gnn_baseline_v0.py,c3b6cee06b7c2b89d2f04b65316ee557d0501b4fa1a52a2ef6e376413e858ddd,d2c0a1d867e6878f832b4ca0df0b8557a5440a68e0285a76cd8e0a5f9461d547,0,exact_original_sha256_match
A0040,ch7_phase2_v1.tar.gz,ch7_phase2_handoff/gnn_baseline/gnn_baseline_common.py,c7ec9a84b470b2aeb58ba6388c8b766e396665eb5e2ede17832a26ec7b0f20cc,0a5d7c557c8b3d804217500b1fcc0d0b6f1b2503950053430c428579234f7da6,0,exact_original_sha256_match
A0041,audit_repo_scaffold.tar.gz,./scripts/analysis/README.md,0fb076a3f7ed064834acb1b8e9f0de90d7e247a53222d8d6f65263143ec40933,71001c1b64c2f3403ad171ecd638fddaaa912f8d0a863916c602ffb19b280ca2,0,exact_original_sha256_match
A0042,features-over-architectures-clean.zip,data/README.md,c47bf8863318709abe391c8f8a56e6d8eea6e143573afab63aa60f112dfa7165,3e41ef242f2085773cb4ff52dd9a1d7f5e9d077103c785f16dbe591a78653f85,0,exact_original_sha256_match
A0043,foa_data_and_scripts_20260515_220508.tar.gz,./scripts/training/prepare_node_features_v1_1.py,ea06f8686fa6661704f15c7ed2b40de1c2adcd8f642e99226ba2078675e22ef1,b6c8250f83822e64d42b23963524664397f410844064306e3b4e621986fc711c,5,not_attempted_redacted
A0044,foa_data_and_scripts_20260515_220508.tar.gz,./scripts/training/gnn_baseline_v1_1.py,dd727de2efa3385f427aab7e9df4de2f0d3dd24597d0930ecc862aa1e76dca38,5c49ed75b85d3268afa87cad417e01f2da6578ad1c2c259d390f2ea824928240,0,exact_original_sha256_match
A0045,files - 2026-06-15T173849.712.zip,Paper3_handoff_bundle.zip :: make_s1_xlsx.py,80b434ad92b4b312fe3853b5000b1ac848a8d61247d5e6f33341553bd4ce4569,0158c00b2c52adf73c6655ad34791f63368a4862a9f872c90cb467412a57b0b3,0,exact_original_sha256_match
A0046,audit-opinion-fraud-ml.tar.gz,audit-opinion-fraud-ml/README.md,f29853dd378b91d3a8b4d411236f518392b1b9da8ec2724696705eae3bb0fad2,50005ad58a7843a1354e8219533eb33ebbbf974efd0ea45de96273d9e34678d2,0,exact_original_sha256_match
