fiscal_year,degree_scope,strict_degree_threshold,active_person_nodes,person_nodes_above_threshold,person_node_fraction_above_threshold,all_E3_records,person_E3_records,person_E3_records_incident_on_high_degree_nodes,fraction_of_all_E3_records,fraction_of_person_E3_records,unique_person_company_E3_pairs,high_degree_unique_E3_pairs,messages_weighted_by_stored_multiplicity
2022,E1_E2_E3_union,20,90438,127,0.0014042769632234239,249078,247847,7026,0.028208031219136172,0.028348134131137355,91658,2672,True
2022,E1_E2_E3_union,50,90438,7,7.74010924611336e-05,249078,247847,798,0.0032038156721990703,0.003219728300120639,91658,294,True
2022,E3_only,20,68567,59,0.0008604722388320912,249078,247847,4754,0.019086390608564385,0.01918118839445303,91658,1760,True
2022,E3_only,50,68567,3,4.375282570332667e-05,249078,247847,433,0.0017384112607295706,0.0017470455563311236,91658,163,True
2023,E1_E2_E3_union,20,86530,113,0.0013059054663122616,253197,251990,6634,0.026200942349237945,0.02632644152545736,90081,2354,True
2023,E1_E2_E3_union,50,86530,6,6.934011325551832e-05,253197,251990,715,0.0028238881187375837,0.002837414183102504,90081,260,True
2023,E3_only,20,67843,56,0.0008254351959671595,253197,251990,4889,0.019309075541969298,0.01940156355410929,90081,1702,True
2023,E3_only,50,67843,3,4.4219742641097826e-05,253197,251990,453,0.0017891207241791964,0.001797690384539069,90081,167,True
2024,E1_E2_E3_union,20,91189,127,0.001392711840243889,275605,274426,7967,0.028907313002304022,0.02903150576111593,93982,2738,True
2024,E1_E2_E3_union,50,91189,15,0.0001644935244382546,275605,274426,1712,0.00621178861051142,0.006238475946156705,93982,578,True
2024,E3_only,20,70286,64,0.0009105654042056739,275605,274426,5845,0.02120788810072386,0.021299002281124968,93982,1980,True
2024,E3_only,50,70286,2,2.845516888142731e-05,275605,274426,331,0.0012009941764481776,0.0012061539358515592,93982,116,True
