condition,resampling_scheme,metric,mean_of_five_fit_metrics,seed_sd,ci_low,ci_high,replicates
REVERSE_RGCN_M11,company_only_fixed_five_fits,roc_auc,0.6967153891859775,0.044227952355299215,0.5576126656403245,0.8203390369849995,2000
REVERSE_RGCN_M11,company_only_fixed_five_fits,ap,0.007476353318546146,0.0007043358449400703,0.0037743334396149737,0.016019219428057833,2000
REVERSE_RGCN_M11,company_only_fixed_five_fits,f1_val_threshold,0.015720487190513884,0.004872599862908691,0.0018779342723004694,0.03321363222692917,2000
REVERSE_RGCN_M11,company_only_fixed_five_fits,p_at_5pct,0.00947867298578199,0.0016756084862240461,0.0018957345971563982,0.017925587671171767,2000
REVERSE_RGCN_M11,company_only_fixed_five_fits,r_at_10fpr,0.38999999999999996,0.06519202405202651,0.21662037037037035,0.6167499999999996,2000
STORED_MLP_M11,company_x_matched_seed,roc_auc,0.831888294711824,0.012858824573272684,0.7608253850824123,0.8957595484393075,2000
STORED_MLP_M11,company_x_matched_seed,ap,0.010937965606419487,0.0006494880010467707,0.005269125576403626,0.026944227034508585,2000
STORED_MLP_M11,company_x_matched_seed,f1_val_threshold,0.014519478674960996,0.004588317343680101,0.0,0.040097691897973915,2000
STORED_MLP_M11,company_x_matched_seed,p_at_5pct,0.014691943127962088,0.0030896693863519662,0.004705944964818716,0.027423167848699765,2000
STORED_MLP_M11,company_x_matched_seed,r_at_10fpr,0.44000000000000006,0.022360679774997894,0.23328947368421052,0.6421052631578947,2000
TABUW_RandomForest_M11,company_x_matched_seed,roc_auc,0.863868686868687,0.005564174128935324,0.8002194565271696,0.9207850928966985,2000
TABUW_RandomForest_M11,company_x_matched_seed,ap,0.014760277167452828,0.0006553972657598179,0.006711140973920517,0.037753970516859116,2000
TABUW_RandomForest_M11,company_x_matched_seed,f1_val_threshold,0.026513301932993404,0.014914806588713456,0.0,0.09727197442938393,2000
TABUW_RandomForest_M11,company_x_matched_seed,p_at_5pct,0.016587677725118485,0.0,0.004750593824228029,0.028503562945368172,2000
TABUW_RandomForest_M11,company_x_matched_seed,r_at_10fpr,0.4600000000000001,0.04183300132670377,0.25,0.7,2000
STORED_GCN_M11,company_x_matched_seed,roc_auc,0.6428591800356507,0.06065091797592999,0.5310599591084443,0.7357676156672218,2000
